Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TI,2023-01-05 00:00:00+05:30,117.22,119.16,113.38,115.87,371880,0.0,0.0
TI,2023-01-06 00:00:00+05:30,118.22,119.56,114.78,116.47,382996,0.0,0.0
TI,2023-01-09 00:00:00+05:30,119.56,122.25,116.47,122.25,809983,0.0,0.0
TI,2023-01-10 00:00:00+05:30,122.75,124.05,116.17,116.17,424774,0.0,0.0
TI,2023-01-11 00:00:00+05:30,114.68,121.96,111.68,117.97,1287474,0.0,0.0
TI,2023-01-12 00:00:00+05:30,116.97,118.66,113.23,116.37,517481,0.0,0.0
TI,2023-01-13 00:00:00+05:30,116.67,120.06,114.53,117.02,323385,0.0,0.0
TI,2023-01-16 00:00:00+05:30,116.67,122.06,115.42,120.71,407770,0.0,0.0
TI,2023-01-17 00:00:00+05:30,122.06,126.74,117.57,122.01,948659,0.0,0.0
TI,2023-01-18 00:00:00+05:30,122.65,123.35,118.76,119.76,201087,0.0,0.0
TI,2023-01-19 00:00:00+05:30,120.81,122.15,118.27,119.01,205721,0.0,0.0
TI,2023-01-20 00:00:00+05:30,119.66,120.26,117.07,117.52,294864,0.0,0.0
TI,2023-01-23 00:00:00+05:30,118.57,118.76,116.42,117.27,149521,0.0,0.0
TI,2023-01-24 00:00:00+05:30,118.17,119.71,114.68,115.52,150676,0.0,0.0
TI,2023-01-25 00:00:00+05:30,116.57,117.22,113.28,114.83,142292,0.0,0.0
TI,2023-01-27 00:00:00+05:30,116.12,118.47,109.09,109.09,279727,0.0,0.0
TI,2023-01-30 00:00:00+05:30,107.9,114.53,103.96,110.74,534069,0.0,0.0
TI,2023-01-31 00:00:00+05:30,114.58,116.27,110.14,115.62,222332,0.0,0.0
TI,2023-02-01 00:00:00+05:30,116.72,117.62,109.84,111.29,236736,0.0,0.0
TI,2023-02-02 00:00:00+05:30,107.9,114.48,107.9,112.48,256206,0.0,0.0
